operator_id,total_incoming_calls,total_missed_incoming,total_weighted_wait_incoming,missed_rate_incoming,avg_wait_time_incoming,total_outgoing_calls,total_missed_outgoing,missed_rate_outgoing
896014,14.0,0.0,254.0,0.0,18.142857142857142,6.0,5.0,0.8333333333333334
896016,71.0,0.0,3850.0,0.0,54.225352112676056,180.0,63.0,0.35
896018,8.0,0.0,217.0,0.0,27.125,3.0,1.0,0.3333333333333333
896020,16.0,0.0,106.0,0.0,6.625,0.0,0.0,0.0
896382,36.0,0.0,2274.0,0.0,63.166666666666664,388.0,152.0,0.3917525773195876
896384,0.0,0.0,0.0,0.0,0.0,28.0,13.0,0.4642857142857143
896386,0.0,0.0,0.0,0.0,0.0,76.0,40.0,0.5263157894736842
896390,0.0,0.0,0.0,0.0,0.0,97.0,46.0,0.4742268041237113
896428,23.0,0.0,782.0,0.0,34.0,183.0,48.0,0.26229508196721313
896430,1.0,0.0,13.0,0.0,13.0,14.0,5.0,0.35714285714285715
896536,178.0,2.0,14405.0,0.011235955056179775,80.92696629213484,0.0,0.0,0.0
896538,14.0,1.0,937.0,0.07142857142857142,66.92857142857143,0.0,0.0,0.0
896708,66.0,0.0,6391.0,0.0,96.83333333333333,152.0,61.0,0.40131578947368424
897030,6.0,0.0,104.0,0.0,17.333333333333332,73.0,39.0,0.5342465753424658
897872,3.0,1.0,65.0,0.3333333333333333,21.666666666666668,45.0,10.0,0.2222222222222222
897894,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
898414,24.0,1.0,3254.0,0.041666666666666664,135.58333333333334,59.0,24.0,0.4067796610169492
898422,64.0,1.0,5125.0,0.015625,80.078125,23.0,11.0,0.4782608695652174
898434,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.8571428571428571
898558,22.0,0.0,1569.0,0.0,71.31818181818181,0.0,0.0,0.0
898560,19.0,0.0,1927.0,0.0,101.42105263157895,0.0,0.0,0.0
898676,2.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0
898892,12.0,0.0,292.0,0.0,24.333333333333332,82.0,26.0,0.3170731707317073
898902,0.0,0.0,0.0,0.0,0.0,22.0,10.0,0.45454545454545453
898906,19.0,0.0,1422.0,0.0,74.84210526315789,126.0,40.0,0.31746031746031744
898920,13.0,0.0,1423.0,0.0,109.46153846153847,37.0,8.0,0.21621621621621623
899076,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
